"","Country","Country Code","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"110","India","IND",100.329055300688,105.177203862352,115.271510073208,127.614591957051,136.403921543911,142.835225474934,153.349390803506,167.457295914491,179.035876924253,180.748291172705,163.122021642201,156.495698086192,163.498079418137,170.983555217527,165.848155794022
"111","Indonesia","IDN",123.959065783577,131.132152102116,131.209397551285,143.986402858886,158.016093023256,181.457227272727,184.52845814978,181.639661016949,181.516652542373,198.418595744681,221.43872606383,219.562484042553,231.868526595745,223.015784574468,231.36957712766
"112","Iran, Islamic Rep.","IRN",78.7394722066255,80.2913502500463,103.751726245035,95.0479646767072,113.961439434764,90.0386507795364,99.8465101318752,75.9800205576256,57.8256660168941,31.7270277376101,129.916102124618,131.40405098897,130.270507081092,100.944668329135,76.2920466441411
"113","Iraq","IRQ",NA,NA,24.3626666666667,41.6128846153846,46.2541666666667,37.5676767676768,56.94,72.4898630136986,34.29,39.0976744186047,49.4160418000861,50.0761279019067,34.4659359862211,36.2822581542969,35.8172511474609
"114","Ireland","IRL",597.017841971113,533.773265651438,466.43153526971,458.037162162162,431.876843018213,427.521698113208,378.108991825613,477.373737373737,462.441147378833,430.480225988701,469.732478632479,472.904761904762,499.293950850662,1273.8526834989,1247.93825322309
"115","Isle of Man","IMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Israel","ISR",251.862464183381,282.934131736527,320.900321543408,292.604501607717,304.950495049505,344.996743660517,280.613935850974,200.460080338555,206.403265463945,251.606347408297,278.833118737193,296.011209284178,264.226289517471,243.606988648324,280.677966101695
"117","Italy","ITA",171.121877639677,177.702475185325,181.418097505953,171.753084832905,177.031588937093,190.229953981314,143.47626033609,120.111588597622,122.745952854303,134.322470238095,122.506322000562,129.303500805625,126.564060642093,134.126950462051,129.847318994244
"118","Jamaica","JAM",94.6740740740741,112.192592592593,123.947368421053,115.84375,63.515625,36.216,37.6416666666667,58.1916666666667,62.625,71.175,87.375,83.1459167480469,73.3977508544922,38.1474161783855,57.246332804362
"119","Japan","JPN",333.544467073999,335.170798271549,353.683717743777,347.969266055046,332.82753856781,350.474803513638,278.228644382544,238.92803912436,259.834423166745,263.877056887635,247.150259067358,244.643699858424,260.326859308385,240.975029726516,242.184512428298
"120","Jordan","JOR",1590.45641025641,916.141242937853,476.531100478469,784.016216216216,693.473684210526,1007.78329953307,337.444816053512,394.860551767834,187.719588143302,1227.59107350443,1331.8532906106,131,92.5684210526316,176.928482140789,112.045859460028
"121","Kazakhstan","KAZ",0.83609974188149,1.19039220370726,1.47829258413571,1.42845635274535,1.44674308079396,2.05647813662219,1.0834577785801,1.97077389701893,2.04603289667118,2.9955518793355,4.42025057530044,2.88858203202294,3.96281680557918,4.32556557237625,4.32556557237625
